FL_NUMBER,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ELAPSED_TIME,FLIGHT_STATUS,CRS_DEP_TIME_MINUTES,CRS_DEP_TIME_MINUTES_SIN,CRS_DEP_TIME_MINUTES_COS,CRS_ARR_TIME_MINUTES,CRS_ARR_TIME_MINUTES_SIN,CRS_ARR_TIME_MINUTES_COS,ARR_TIME_MINUTES,DAY_OF_WEEK,IS_WEEKEND,ORIGIN_CITY_STATE_WOE,DEST_CITY_STATE_WOE,DEST_CITY_CITY_WOE,AIRLINE_WOE,ORIGIN_CITY_CITY_WOE
3371,-5.0,13.0,11.0,89.0,0,1025,-0.9713420698132613,-0.23768589232617343,1114,-0.9890158633619168,0.14780941112961096,1107.0,1,0,-0.16695165335741508,-0.0757038257481345,0.2435939059831683,-0.2703846368424381,-0.08641279087340285
3552,-1.0,16.0,11.0,88.0,0,679,0.17794354547384186,-0.9840406976462909,707,0.05669278756337765,-0.9983916705573488,696.0,1,0,0.098187320025139,0.18726281756566054,0.20288272092615472,-0.16618428758835427,-0.955101841241924
4660,-5.0,18.0,8.0,97.0,0,678,0.18223552549214772,-0.9832549075639545,715,0.021814885034560774,-0.9997620270799091,692.0,5,1,0.098187320025139,0.18726281756566054,0.20288272092615472,-0.2703846368424381,0.3149029336879501
325,0.0,15.0,5.0,96.0,0,1095,-0.9978589232386036,0.06540312923014237,1251,-0.7343225094356858,0.6788007455329415,1247.0,4,0,0.28234689228040155,0.08195255442675234,0.3675047006207083,0.11176174911160532,0.31164736922818387
1561,1.0,21.0,9.0,267.0,0,600,0.49999999999999994,-0.8660254037844387,747,-0.1175373974578373,-0.9930684569549263,734.0,4,0,0.1251613087579892,-0.0757038257481345,0.2435939059831683,0.11176174911160532,0.1426290017983799
3703,-9.0,19.0,14.0,87.0,0,1019,-0.964787323828813,-0.2630312144579744,1166,-0.9304175679820247,0.36650122672429686,1150.0,6,1,-0.3830635333079441,-0.35976797070442196,-0.4504926828187129,-0.2703846368424381,0.1923006115956176
4874,-4.0,12.0,5.0,131.0,0,814,-0.3987490689252463,-0.917060074385124,885,-0.6593458151000688,-0.7518398074789775,874.0,5,1,0.1923006115956176,-0.0757038257481345,-0.07658896150679595,-0.2703846368424381,-0.12615311952291705
5644,-4.0,22.0,16.0,88.0,0,542,0.700909264299851,-0.7132504491541815,630,0.3826834323650899,-0.9238795325112867,618.0,0,0,-0.5008465689643277,-0.03373729774495672,-0.1695932482189065,0.02555674874353248,-0.36731517633980515
4809,-2.0,16.0,4.0,65.0,0,360,1.0,6.123233995736766e-17,425,0.9600498543859287,-0.2798290140309919,418.0,5,1,0.06800289491804055,-0.1905530501259997,-0.20435386683039175,-0.7302206700291735,-0.2131644965125468
612,-4.0,10.0,4.0,179.0,0,86,0.36650122672429725,0.9304175679820246,385,0.9940563382223196,-0.10886687485196461,384.0,4,0,0.11393154448011089,-0.4195009295103752,-0.3492966708371267,0.20487939380247772,0.20949301213599042
524,1.0,32.0,9.0,268.0,0,575,0.5913096483635826,-0.8064446042674824,963,-0.872496007072797,-0.4886212414969553,970.0,4,0,-0.5395610811450179,0.11056871433123651,0.23944739002131968,-0.20280170947700016,-0.5008465689643276
1725,15.0,11.0,8.0,73.0,0,485,0.8549118706729467,-0.5187732581605212,618,0.4305110968082951,-0.9025852843498606,625.0,5,1,0.21467290935015063,-0.35976797070442196,-0.4504926828187129,-0.012039812755495889,0.21572088580371615
3963,-7.0,18.0,2.0,104.0,0,519,0.7688418320734596,-0.6394390019805847,623,0.41071885261347724,-0.9117620435770886,607.0,1,0,0.1251613087579892,-0.021386604476556544,0.8854477921555629,-0.03084293971859223,0.1410073172080673
3839,-6.0,13.0,7.0,102.0,0,810,-0.3826834323650892,-0.923879532511287,972,-0.8910065241883678,-0.4539904997395469,967.0,6,1,-0.16695165335741508,-0.4331283949093767,-0.4092793754388371,-0.2703846368424381,0.09320970895138686
5935,-3.0,11.0,11.0,77.0,0,1351,-0.37864861735243305,0.9255405040175664,1428,-0.05233595624294437,0.9986295347545738,1423.0,1,0,0.1251613087579892,-0.021386604476556544,-0.5008465689643277,0.31008364725200116,0.1410073172080673
1507,-1.0,21.0,3.0,140.0,0,952,-0.848048096156426,-0.529919264233205,1032,-0.9781476007338056,-0.2079116908177598,1030.0,1,0,0.28234689228040155,-0.0757038257481345,0.08911637536038683,0.11176174911160532,0.31164736922818387
1063,9.0,13.0,8.0,126.0,0,667,0.22920039092241454,-0.9733792584604484,793,-0.3131638064837496,-0.949699126201877,804.0,3,0,0.098187320025139,0.31694305680289425,0.16931109337091893,0.41544416290982744,0.3149029336879501
3904,3.0,9.0,4.0,125.0,0,960,-0.8660254037844384,-0.5000000000000004,1085,-0.9997620270799091,0.021814885034561356,1068.0,2,0,0.1342690640234327,-0.1905530501259997,-0.20435386683039175,0.12302922736490786,0.26640858374933957
3521,-11.0,44.0,5.0,131.0,0,689,0.13485093027372358,-0.9908658973868821,820,-0.4226182617406993,-0.90630778703665,821.0,1,0,0.5406073058638334,-0.4778570507396289,-0.35131483499336386,-0.16618428758835427,0.5561440450129628
1587,0.0,29.0,9.0,101.0,0,746,-0.11320321376790664,-0.9935718556765875,847,-0.5262139236518696,-0.8503522249955628,847.0,1,0,0.1342690640234327,-0.1905530501259997,-0.20435386683039175,-0.20280170947700016,0.031957961520438186
303,-7.0,11.0,8.0,155.0,0,330,0.9914448613738104,0.1305261922200517,485,0.8549118706729467,-0.5187732581605212,452.0,0,0,0.5406073058638334,0.31694305680289425,0.16931109337091893,0.20487939380247772,0.6623042408413532
2193,5.0,15.0,12.0,132.0,0,310,0.9762960071199334,0.2164396139381029,562,0.6360782202777642,-0.7716245833877198,572.0,3,0,0.012385794832227947,-0.021386604476556544,-0.027853400870226166,-0.012039812755495889,-1.5568992432136415
2001,-2.0,17.0,7.0,74.0,0,1363,-0.3296906452627871,0.9440890203927843,1437,-0.013089595571344759,0.999914327574007,1430.0,3,0,0.11393154448011089,-0.02691366157870257,-0.1042704082734093,0.41544416290982744,0.20949301213599042
393,-12.0,12.0,8.0,124.0,0,772,-0.22495105434386498,-0.9743700647852352,896,-0.6946583704589974,-0.7193398003386511,885.0,2,0,0.1342690640234327,-0.030842939718592116,-0.08911184784256773,0.7737438025755615,0.2793119885852474
758,-1.0,20.0,8.0,205.0,0,1165,-0.9320078692827986,0.36243803828370147,50,0.21643961393810288,0.9762960071199334,51.0,0,0,0.11393154448011089,0.18726281756566054,0.20288272092615472,0.20487939380247772,0.20949301213599042
2972,0.0,16.0,4.0,191.0,0,760,-0.17364817766693047,-0.984807753012208,1011,-0.9550199444571866,-0.29654157497557104,990.0,4,0,0.1251613087579892,0.09132469425561546,0.12084164761347281,-0.012039812755495889,0.1410073172080673
5347,-5.0,22.0,8.0,59.0,0,976,-0.8987940462991668,-0.43837114678907774,1035,-0.9807852804032303,-0.19509032201612866,1031.0,4,0,0.039010887482324307,-0.1905530501259997,0.4799826840473985,0.02555674874353248,0.09260125137252971
4939,-5.0,15.0,19.0,115.0,0,375,0.9978589232386035,-0.06540312923014292,550,0.6755902076156604,-0.737277336810124,548.0,1,0,-0.030842939718592116,-0.35976797070442196,-0.4504926828187129,-0.7302206700291735,-0.21316449651254665
1813,12.0,9.0,11.0,115.0,0,930,-0.7933533402912349,-0.6087614290087209,1105,-0.9940563382223196,0.10886687485196471,1116.0,6,1,-0.030842939718592116,-0.08993185608859855,-0.08993185608859855,0.12302922736490786,-0.09056217442021428
2591,-2.0,19.0,9.0,91.0,0,553,0.6658816660008343,-0.7460573750616994,644,0.32556815445715703,-0.9455185755993167,651.0,2,0,-0.2276425156931999,0.31694305680289425,1.1731298646073438,-0.20280170947700016,-0.26434362913274895
1520,-5.0,15.0,14.0,152.0,0,1168,-0.9271838545667874,0.37460659341591196,1320,-0.5000000000000004,0.8660254037844384,1328.0,4,0,0.1342690640234327,-0.08571954994442633,-0.08571954994442633,-0.012039812755495889,0.09320970895138686
1600,-6.0,13.0,17.0,281.0,0,420,0.9659258262890683,-0.25881904510252085,881,-0.646123979642964,-0.7632324697825288,884.0,3,0,0.012385794832227947,0.3630613459884964,0.4334626684125058,0.11176174911160532,0.09877455358479412
2021,8.0,10.0,12.0,88.0,0,940,-0.8191520442889916,-0.5735764363510464,1028,-0.9743700647852351,-0.22495105434386525,1031.0,1,0,-0.8062282185155095,-0.03373729774495672,-0.1695932482189065,-0.012039812755495889,-0.5614711907807625
2466,0.0,8.0,8.0,119.0,0,480,0.8660254037844387,-0.4999999999999998,659,0.2630312144579752,-0.9647873238288129,645.0,5,1,-0.3830635333079441,-0.1905530501259997,-0.20435386683039175,-0.20280170947700016,-0.09538146085616321
456,5.0,21.0,16.0,219.0,0,1340,-0.4226182617407,0.9063077870366497,1439,-0.004363309284747432,0.9999904807207345,7.0,6,1,0.1251613087579892,-0.0757038257481345,-0.22969379846375723,-0.012039812755495889,0.1410073172080673
2220,-7.0,15.0,16.0,192.0,0,1070,-0.9990482215818578,-0.04361938736533613,1322,-0.4924235601034673,0.8703556959398996,1307.0,0,0,0.21467290935015063,0.31694305680289425,0.26640858374933957,0.11176174911160532,0.21572088580371615
1202,-4.0,7.0,5.0,85.0,0,1040,-0.984807753012208,-0.17364817766693033,1125,-0.9807852804032304,0.1950903220161283,1105.0,1,0,-0.16695165335741508,-0.02691366157870257,-0.1042704082734093,0.12302922736490786,0.1923006115956176
5664,-7.0,16.0,19.0,80.0,0,1345,-0.40274668985873824,0.9153114791194467,1425,-0.06540312923014367,0.9978589232386035,1421.0,3,0,-0.34929667083712684,0.11056871433123651,-0.580889276637864,0.02555674874353248,-0.34929667083712684
992,-1.0,18.0,22.0,186.0,0,960,-0.8660254037844384,-0.5000000000000004,1146,-0.9588197348681932,0.2840153447039223,1131.0,4,0,0.1342690640234327,-0.1625207636937918,-0.13620345537641848,-0.20280170947700016,0.20457070418743212
4837,13.0,25.0,9.0,200.0,0,742,-0.0958457525202241,-0.9953961983671787,822,-0.4305110968082953,-0.9025852843498605,828.0,5,1,0.098187320025139,-0.04426596005073269,-0.057354065266924104,0.41544416290982744,0.46056459819029705
2651,-3.0,10.0,10.0,281.0,0,1399,-0.17794354547384153,0.9840406976462909,420,0.9659258262890683,-0.25881904510252085,393.0,5,1,0.012385794832227947,0.11056871433123651,0.23944739002131968,-0.012039812755495889,0.09877455358479412
782,34.0,15.0,6.0,191.0,1,864,-0.587785252292473,-0.8090169943749476,935,-0.8064446042674827,-0.5913096483635822,959.0,0,0,0.03814993176835938,-0.0757038257481345,-0.07658896150679595,0.7737438025755615,0.07451757593923407
2248,-11.0,21.0,7.0,304.0,0,415,0.9713420698132614,-0.237685892326173,899,-0.7040147244559685,-0.7101853756232853,893.0,4,0,-0.7941943789517859,0.3630613459884964,0.4334626684125058,0.11176174911160532,-0.7567799431015282
499,-1.0,7.0,5.0,215.0,0,765,-0.19509032201612792,-0.9807852804032305,920,-0.7660444431189779,-0.6427876096865395,906.0,4,0,0.1687701141854236,-0.02691366157870257,-0.1042704082734093,0.12302922736490786,0.1572092917843476
1967,1.0,12.0,3.0,67.0,0,760,-0.17364817766693047,-0.984807753012208,827,-0.45009844103743474,-0.8929789434111371,819.0,6,1,0.1251613087579892,-0.021386604476556544,0.34183234556658143,-0.012039812755495889,0.1410073172080673
3009,25.0,8.0,4.0,260.0,0,420,0.9659258262890683,-0.25881904510252085,560,0.6427876096865395,-0.7660444431189779,547.0,0,0,0.21467290935015063,-0.0757038257481345,0.08911637536038683,0.12302922736490786,0.21572088580371615
4685,-2.0,11.0,7.0,114.0,0,885,-0.6593458151000688,-0.7518398074789775,999,-0.938191335922484,-0.34611705707749335,996.0,5,1,-0.34929667083712684,0.31694305680289425,-0.030842939718592,-0.16618428758835427,-0.34929667083712684
1537,52.0,9.0,4.0,90.0,1,695,0.10886687485196457,-0.9940563382223196,785,-0.27982901403099203,-0.9600498543859287,822.0,0,0,0.1342690640234327,-0.07366293690152038,0.050650094532590964,0.12302922736490786,0.03814993176835938
1331,19.0,15.0,5.0,80.0,0,1317,-0.5112930860770518,0.8594064115014528,1397,-0.18652403600873563,0.9824503977255096,1398.0,1,0,0.5406073058638334,0.11056871433123651,0.05253866922045917,0.11176174911160532,0.5561440450129628
2639,0.0,16.0,7.0,286.0,0,885,-0.6593458151000688,-0.7518398074789775,1051,-0.992004949679715,-0.12619896913583006,1023.0,3,0,0.21467290935015063,-0.0757038257481345,0.2435939059831683,-0.012039812755495889,0.21572088580371615
4130,-9.0,9.0,19.0,105.0,0,540,0.7071067811865476,-0.7071067811865475,585,0.5555702330196022,-0.8314696123025453,554.0,6,1,-0.16089606796678985,0.18726281756566054,0.20288272092615472,-0.03084293971859223,-0.3205230148330461
4757,-3.0,17.0,3.0,164.0,0,675,0.19509032201612816,-0.9807852804032304,779,-0.25460194820552745,-0.9670459389139432,770.0,6,1,0.28234689228040155,-0.0757038257481345,0.25683913273318887,-0.2703846368424381,0.31164736922818387
3715,-4.0,16.0,3.0,166.0,0,640,0.3420201433256689,-0.9396926207859083,866,-0.5948227867513415,-0.8038568606172172,855.0,2,0,0.21467290935015063,0.31694305680289425,1.1731298646073438,-0.16618428758835427,0.21572088580371615
44,-10.0,11.0,6.0,310.0,0,750,-0.13052619222005132,-0.9914448613738105,1180,-0.9063077870366499,0.4226182617406996,1163.0,1,0,-0.2651242354432577,-0.0757038257481345,-1.1024265559987825,-0.14862597537497554,-0.25398649103280185
1333,0.0,20.0,5.0,320.0,0,780,-0.25881904510252035,-0.9659258262890684,920,-0.7660444431189779,-0.6427876096865395,918.0,6,1,0.5406073058638334,-0.02691366157870257,-0.1042704082734093,-0.012039812755495889,0.5561440450129628
